clean_statement,label,Category
"Next budget will have vibrancy to ensure the economic revival continues, says Sitharaman",1,ELECTION
Fact Check: Mughal Gardens At Rashtrapati Bhavan Renamed To 'Dr.....Fact Check: Mughal Gardens At Rashtrapati Bhavan Renamed To 'Dr. Rajendra Prasad Garden',0,MISLEADING
Delhi AQI turns hazardous from Tuesday afternoon,1,VIOLENCE
Prasad slams Oppn s irresponsible acts in Upper House,1,ELECTION
"One week of test run, inspection of equipment : MHA issues guidelines on restarting industries",1,VIOLENCE
PM Modi and Delhi CM Arvind Kejriwal to campaign in Goa next week for Lok Sabha elections,1,ELECTION
Fact Check: Was Hizbul Mujahideen terrorist Riyaz Naikoo a doctor? Here s...,0,POLITICS
Sasikala set for release AIADMK says inconsequential but some leaders wary of poll impact,1,GOVERNMENT
Fact Check: Leopard Attack In Hyderabad Claimed 2 Lives?.Church in Pakistan burnt in revenge against New Zealand shooting? Fact Check,0,VIOLENCE
"NCW received 2,043 complaints of crimes against women in June, highest in 8 months",1,COVID-19
"Supported Prakash Bajaj for Rajya Sabha polls to expose BSP-BJP tie, says Akhilesh Yadav",1,ELECTION
Delhi government decides to implement centre s order on allowing shops to open: Reports,1,GOVERNMENT
"Fastest Covid vaccination rollouts in Israel, UAE are propelling market gains",1,POLITICS
Son arrested for former Kerala Ranji cricketer s murder,1,VIOLENCE
Serum Institute halts India trials of Oxford vaccine after drug controller's notice,1,COVID-19
"Convoy of BJP s JP Nadda, Kailash Vijayvargiya attacked in West Bengal s Diamond Harbour",1,ELECTION
"Akhilesh detained, BJP ally announces march as Oppn rallies behind farmers",1,ELECTION
Fact Check: Viral claim of Ambedkar statue damaged by BJP MLA is misleading.Fact Check: Govt Warning Of Massive Phishing Attack Is Real,0,MISLEADING
UP police s treatment to Rahul gang-rape of democracy : Sanjay Raut,1,ELECTION
Bollywood drugs probe: 2 NCB officials suspended,1,VIOLENCE
"No, this video does not show piles of cash seized from TN MLA Velumani s godown",0,VIOLENCE
"Schools, colleges in Sikkim to reopen on June 15",1,GOVERNMENT
"During 1984 riots, even Manmohan Singh s family home was about to be burnt down",1,POLITICS
Fact Check: Old video of men brawling in a street is...,0,VIOLENCE
"Submit Palghar chargesheet in 3 weeks, Supreme Court tells Maharashtra",1,VIOLENCE
Meena Kumari A Victim of Triple Talaq Is Fake News: A FactCheck,0,VIOLENCE
TMC to hold mega rally without Adhikaris at their bastion in Midnapore s Contai,1,ELECTION
Madni releases picture of son spinning charkha to prove his Khadi board eligibility,1,VIOLENCE
Fact Check: This old Muslim man being thrashed by police is not from India. Fact Check: This video of boy being thrashed has nothing to do with West Bengal,0,VIOLENCE
"No, This Picture Of Narendra Modi's Mother Hiraben Is Not Photoshopped ...",0,GOVERNMENT
"Bigotry dangerous, knows no borders : Rahul Gandhi condemns attack on Pak gurdwara",1,TERROR
"Show past balance sheets, telcos told",1,TERROR
Video Of A Mentally Ill Man Thrashed In Rajasthan Revived With False...,0,VIOLENCE
Why Chhotubhai Vasava s Bharatiya Tribal Party withdrew support to Congress govt in Rajasthan,1,ELECTION
"CRPF SI shoots senior, kills self in Delhi s Lodhi Estate area",1,VIOLENCE
This Photo of Rajiv and Rahul Gandhi is not from Indira s...,0,COVID-19
"Black Day observed in border areas: Maharashtra ministers, leaders back protesters, attack Karnataka govt",1,POLITICS
Fact check: Picture From Venezuela Passed Off As Atrocities On Kashmiri Muslims By Indian Army,0,VIOLENCE
No! Russian President Vladimir Putin never said this on terrorism,0,COVID-19
"India s COVID-19 tally crosses 7.9 lakh, death toll at 21,604; WHO warns virus accelerating",1,COVID-19
Rape accused acquitted after 12-year-old survivor remains untraceable,1,VIOLENCE
"Why depend on failed ideas, asks RSS affiliate",1,ELECTION
CGPEB Teacher answer keys 2019 released at vyapam.cgstate.gov.in | Direct link to check answer keys here,1,TERROR
