Token,SHAP_Score
tells ,0.4232128823059611
says ,0.35918942109371227
Bharat ,0.29815222369506955
propaganda,0.28893577287817607
Band,0.26739288913086057
claiming ,0.2535178975085728
and ,0.2179852770641446
for ,0.21253141108900309
Ladakh ,0.2030232548713684
Article ,0.19742379523813725
com,0.15469355881214142
stand,0.15160775184631348
kot,0.13497291691601276
media ,0.1344216245925054
India,0.13127466873265803
oll,0.12520082161063328
370,0.11945478059351444
Delhi ,0.11694388650357723
next,0.11475406959652901
slip ,0.09787498228251934
dip ,0.09340093098580837
Modi ,0.09291226137429476
evolution ,0.09107436053454876
126,0.0883222185075283
off,0.08774740993976593
Amit ,0.08723331056535244
but ,0.08689486276772287
runs ,0.08674610813613981
trains,0.08643814735114574
much ,0.08344775624573231
